Plot_seq;Genotype;Seed_ID;Row;Column;Treatment;Rep;Category;Trial;Year;Row_Column
59_Trial2;G31;16;45;3;Treatment1;3;Fill;Trail2.2;2022;45_3
6_Trial1;G10;74;1;5;Treatment1;1;Category1;Trail1;2022;1_5
6_Trial2;G30;26;40;5;Treatment1;2;Fill;Trail2.1;2022;40_5
60_Trial1;G42;73;7;10;Treatment2;1;Category3;Trail1;2022;7_10
60_Trial2;G39;22;45;4;Treatment1;3;Fill;Trail2.2;2022;45_4
61_Trial1;G20;84;9;10;Treatment3;1;Category3;Trail1;2022;9_10
61_Trial2;G35;Tp G35;45;5;Treatment1;2;Fill;Fill;2022;45_5
62_Trial1;G18;67;9;9;Treatment3;1;Category3;Trail1;2022;9_9
62_Trial2;G05;20;45;6;Treatment1;2;Fill;Trail2.2;2022;45_6
63_Trial1;G01;64;9;8;Treatment3;1;Category1;Trail1;2022;9_8
63_Trial2;G35;Tp G35;45;7;Treatment1;2;Fill;Fill;2022;45_7
64_Trial1;G04;81;9;7;Treatment3;1;Category3;Trail1;2022;9_7
64_Trial2;G39;22;45;8;Treatment1;1;Fill;Trail2.2;2022;45_8
65_Trial1;G40;75;9;6;Treatment3;1;Category3;Trail1;2022;9_6
65_Trial2;G36 ;18;45;9;Treatment1;1;Fill;Trail2.2;2022;45_9
66_Trial1;G15;91;9;5;Treatment3;1;Category2;Trail1;2022;9_5
66_Trial2;G34;12;45;10;Treatment1;1;Fill;Trail2.2;2022;45_10
67_Trial1;G44;90;9;4;Treatment3;1;Category1;Trail1;2022;9_4
67_Trial2;G32;14;46;10;Treatment1;1;Fill;Trail2.2;2022;46_10
68_Trial1;G12;79;9;3;Treatment3;1;Category3;Trail1;2022;9_3
68_Trial2;G05;20;46;9;Treatment1;1;Fill;Trail2.2;2022;46_9
69_Trial1;G42;73;9;2;Treatment3;1;Category3;Trail1;2022;9_2
69_Trial2;G33;10;46;8;Treatment1;1;Fill;Trail2.2;2022;46_8
7_Trial1;G41;85;1;4;Treatment1;1;Category2;Trail1;2022;1_4
7_Trial2;G22;27;40;4;Treatment1;2;Fill;Trail2.1;2022;40_4
70_Trial1;G43;89;9;1;Treatment3;1;Category1;Trail1;2022;9_1
70_Trial2;G36 ;18;46;7;Treatment1;2;Fill;Trail2.2;2022;46_7
71_Trial1;G08;70;10;1;Treatment3;1;Category1;Trail1;2022;10_1
71_Trial2;G31;16;46;6;Treatment1;2;Fill;Trail2.2;2022;46_6
72_Trial1;G06;77;10;2;Treatment3;1;Category3;Trail1;2022;10_2
72_Trial2;G32;14;46;5;Treatment1;2;Fill;Trail2.2;2022;46_5
73_Trial1;G16;71;10;3;Treatment3;1;Category1;Trail1;2022;10_3
73_Trial2;G35;Tp G35;46;4;Treatment1;3;Fill;Fill;2022;46_4
74_Trial1;G38;69;10;4;Treatment3;1;Category2;Trail1;2022;10_4
74_Trial2;G33;10;46;3;Treatment1;3;Fill;Trail2.2;2022;46_3
75_Trial1;G13;87;10;5;Treatment3;1;Category3;Trail1;2022;10_5
75_Trial2;G34;12;46;2;Treatment1;3;Fill;Trail2.2;2022;46_2
76_Trial1;G07;93;10;6;Treatment3;1;Category1;Trail1;2022;10_6
77_Trial1;G23;68;10;7;Treatment3;1;Category2;Trail1;2022;10_7
78_Trial1;G21;80;10;8;Treatment3;1;Category2;Trail1;2022;10_8
79_Trial1;G45;78;10;9;Treatment3;1;Category3;Trail1;2022;10_9
8_Trial1;G08;70;1;3;Treatment1;1;Category1;Trail1;2022;1_3
8_Trial2;G01;24;40;3;Treatment1;2;Fill;Trail2.1;2022;40_3
80_Trial1;G22;66;10;10;Treatment3;1;Category1;Trail1;2022;10_10
81_Trial1;G11;72;11;10;Treatment3;1;Category2;Trail1;2022;11_10
82_Trial1;G19;76;11;9;Treatment3;1;Category3;Trail1;2022;11_9
83_Trial1;G05;86;11;8;Treatment3;1;Category2;Trail1;2022;11_8
84_Trial1;G37;88;11;7;Treatment3;1;Category2;Trail1;2022;11_7
85_Trial1;G10;74;11;6;Treatment3;1;Category1;Trail1;2022;11_6
86_Trial1;G03;82;11;5;Treatment3;1;Category2;Trail1;2022;11_5
87_Trial1;G41;85;11;4;Treatment3;1;Category2;Trail1;2022;11_4
88_Trial1;G09;65;11;3;Treatment3;1;Category2;Trail1;2022;11_3
89_Trial1;G46;83;11;2;Treatment3;1;Category2;Trail1;2022;11_2
9_Trial1;G42;73;1;2;Treatment1;1;Category3;Trail1;2022;1_2
9_Trial2;G29;32;40;2;Treatment1;3;Fill;Trail2.1;2022;40_2
90_Trial1;G39;92;11;1;Treatment3;1;Category2;Trail1;2022;11_1
91_Trial1;G19;76;13;1;Treatment1;2;Category3;Trail1;2022;13_1
92_Trial1;G23;68;13;2;Treatment1;2;Category2;Trail1;2022;13_2
93_Trial1;G13;87;13;3;Treatment1;2;Category3;Trail1;2022;13_3
94_Trial1;G16;71;13;4;Treatment1;2;Category1;Trail1;2022;13_4
